layer,task,epoch,overlap_ratio,current_dead,historical_dead,intersection
conv1,3,7,1.0,1,1,1
layer4,3,7,1.0,4,29,4
conv1,3,8,1.0,1,1,1
layer4,3,8,1.0,3,29,3
conv1,3,9,1.0,1,1,1
layer4,3,9,1.0,6,29,6
conv1,4,1,1.0,2,2,2
layer4,4,1,1.0,3,78,3
conv1,4,2,1.0,2,2,2
layer4,4,2,1.0,37,78,37
conv1,4,3,1.0,2,2,2
layer4,4,3,1.0,10,78,10
conv1,4,4,1.0,3,2,2
layer4,4,4,1.0,30,78,30
conv1,4,5,1.0,2,3,2
layer4,4,5,1.0,9,78,9
conv1,4,6,1.0,2,3,2
layer4,4,6,1.0,2,78,2
conv1,4,7,1.0,2,3,2
layer4,4,7,1.0,11,78,11
conv1,4,8,1.0,2,3,2
layer4,4,8,1.0,8,78,8
conv1,4,9,1.0,2,3,2
layer4,4,9,1.0,2,78,2
layer4,1,9,0.0,1,1,0
layer4,3,3,1.0,2,1,1
layer4,3,4,1.0,5,2,2
layer4,0,1,1.0,1,92,1
layer4,0,2,0.75,20,92,15
layer4,1,1,0.9166666666666666,36,12,11
layer4,1,2,0.972972972972973,192,37,36
layer4,1,3,1.0,37,193,37
layer4,1,4,1.0,6,193,6
conv1,1,5,1.0,2,1,1
layer4,1,5,1.0,8,193,8
layer4,1,6,0.92,25,193,23
conv1,1,7,0.0,1,2,0
layer4,1,7,0.8021978021978022,182,195,146
conv1,1,8,1.0,1,3,1
layer4,1,8,1.0,58,231,58
conv1,1,9,0.0,1,3,0
layer4,1,9,0.9066666666666666,150,231,136
conv1,2,1,1.0,5,3,3
layer4,2,1,1.0,9,172,9
conv1,2,2,1.0,5,5,5
layer4,2,2,1.0,39,172,39
conv1,2,3,1.0,6,5,5
layer4,2,3,1.0,60,172,60
conv1,2,4,1.0,7,6,6
layer4,2,4,1.0,6,172,6
conv1,2,5,1.0,6,7,6
layer4,2,5,1.0,55,172,55
conv1,2,6,1.0,6,7,6
layer4,2,6,0.9550561797752809,89,172,85
conv1,2,7,1.0,5,7,5
layer4,2,7,1.0,2,176,2
conv1,2,8,0.8571428571428571,7,7,6
layer4,2,8,1.0,2,176,2
conv1,2,9,0.875,8,8,7
layer4,2,9,1.0,8,176,8
conv1,3,1,1.0,4,4,4
layer4,3,1,0.9875,80,160,79
conv1,3,2,1.0,4,4,4
layer4,3,2,1.0,56,161,56
conv1,3,3,1.0,4,4,4
layer4,3,3,1.0,47,161,47
conv1,3,4,1.0,5,4,4
layer4,3,4,1.0,26,161,26
conv1,3,5,1.0,5,5,5
layer4,3,5,0.9733333333333334,75,161,73
conv1,3,6,1.0,5,5,5
layer4,3,6,1.0,2,163,2
conv1,3,7,1.0,5,5,5
layer4,3,7,1.0,61,163,61
conv1,3,8,1.0,5,5,5
layer4,3,8,1.0,47,163,47
conv1,3,9,1.0,5,5,5
layer4,3,9,1.0,7,163,7
conv1,4,1,1.0,1,1,1
layer4,4,1,0.9814814814814815,93,54,53
conv1,4,2,1.0,1,1,1
layer4,4,2,1.0,49,94,49
conv1,4,3,1.0,1,1,1
layer4,4,3,0.9787234042553191,47,94,46
conv1,4,4,1.0,1,1,1
layer4,4,4,1.0,14,95,14
conv1,4,5,1.0,1,1,1
layer4,4,5,1.0,12,95,12
conv1,4,6,1.0,1,1,1
layer4,4,6,0.9433962264150944,53,95,50
conv1,4,7,1.0,2,1,1
layer4,4,7,1.0,18,98,18
conv1,4,8,0.5,2,2,1
layer4,4,8,1.0,7,98,7
conv1,4,9,1.0,2,3,2
layer4,4,9,0.9607843137254902,51,98,49
conv1,1,1,1.0,2,1,1
layer4,1,1,1.0,16,48,16
conv1,1,2,1.0,1,2,1
layer4,1,2,1.0,9,48,9
conv1,1,3,0.5,3,2,1
layer4,1,3,0.9166666666666666,24,48,22
conv1,1,4,0.75,4,4,3
layer4,1,4,1.0,11,50,11
conv1,1,5,0.8,5,5,4
layer4,1,5,0.8888888888888888,27,50,24
conv1,1,6,1.0,5,6,5
layer4,1,6,1.0,18,53,18
conv1,1,7,1.0,4,6,4
layer4,1,7,0.8055555555555556,36,53,29
conv1,1,8,1.0,4,6,4
layer4,1,8,0.972972972972973,37,60,36
conv1,1,9,1.0,9,6,6
layer4,1,9,0.975,40,61,39
conv1,2,1,1.0,1,1,1
layer4,2,1,1.0,11,19,11
conv1,2,2,1.0,1,1,1
layer4,2,2,0.9411764705882353,17,19,16
conv1,2,3,1.0,1,1,1
layer4,2,3,0.95,20,20,19
conv1,2,4,1.0,1,1,1
layer4,2,4,1.0,9,21,9
conv1,2,5,1.0,1,1,1
layer4,2,5,0.9047619047619048,21,21,19
conv1,2,6,1.0,1,1,1
layer4,2,6,0.95,20,23,19
conv1,2,7,1.0,1,1,1
layer4,2,7,1.0,8,24,8
conv1,2,8,1.0,1,1,1
layer4,2,8,0.875,25,24,21
conv1,2,9,1.0,1,1,1
layer4,2,9,1.0,23,28,23
conv1,3,1,1.0,1,1,1
layer4,3,1,1.0,11,30,11
conv1,3,2,1.0,1,1,1
layer4,3,2,1.0,12,30,12
conv1,3,3,1.0,1,1,1
layer4,3,3,0.9230769230769231,26,30,24
conv1,3,4,1.0,1,1,1
layer4,3,4,0.96875,38,32,31
conv1,3,5,1.0,1,1,1
layer4,3,5,1.0,10,39,10
conv1,3,6,1.0,1,1,1
layer4,3,6,1.0,6,39,6
conv1,3,7,1.0,1,1,1
layer4,3,7,1.0,8,39,8
conv1,3,8,1.0,1,1,1
layer4,3,8,1.0,11,39,11
conv1,3,9,1.0,1,1,1
layer4,3,9,1.0,2,39,2
conv1,4,1,1.0,1,1,1
layer4,4,1,1.0,17,20,17
conv1,4,2,1.0,1,1,1
layer4,4,2,0.8947368421052632,19,20,17
conv1,4,3,1.0,1,1,1
layer4,4,3,1.0,15,22,15
conv1,4,4,1.0,1,1,1
layer4,4,4,1.0,27,22,22
conv1,4,5,1.0,1,1,1
layer4,4,5,1.0,21,27,21
conv1,4,6,1.0,1,1,1
layer4,4,6,0.9259259259259259,27,27,25
conv1,4,7,1.0,1,1,1
layer4,4,7,1.0,20,29,20
conv1,4,8,1.0,1,1,1
layer4,4,8,0.9583333333333334,24,29,23
conv1,4,9,1.0,2,1,1
layer4,4,9,1.0,18,30,18
layer4,0,1,1.0,1,92,1
layer4,0,2,0.75,20,92,15
layer4,1,1,0.9166666666666666,36,12,11
layer4,1,2,0.972972972972973,192,37,36
layer4,1,3,1.0,37,193,37
layer4,1,4,1.0,6,193,6
conv1,1,5,1.0,2,1,1
layer4,1,5,1.0,8,193,8
layer4,1,6,0.92,25,193,23
conv1,1,7,0.0,1,2,0
layer4,1,7,0.8021978021978022,182,195,146
conv1,1,8,1.0,1,3,1
layer4,1,8,1.0,58,231,58
conv1,1,9,0.0,1,3,0
layer4,1,9,0.9066666666666666,150,231,136
conv1,2,1,1.0,7,6,6
layer4,2,1,0.9783783783783784,185,240,181
conv1,2,2,1.0,7,7,7
conv1,2,3,1.0,7,7,7
layer4,2,3,1.0,24,244,24
conv1,2,4,1.0,8,7,7
layer4,2,4,1.0,4,244,4
conv1,2,5,1.0,8,8,8
layer4,2,5,1.0,11,244,11
conv1,2,6,1.0,9,8,8
layer4,2,6,1.0,7,244,7
conv1,2,7,1.0,7,9,7
layer4,2,7,1.0,2,244,2
conv1,2,8,0.8888888888888888,9,9,8
conv1,2,9,0.8888888888888888,9,10,8
layer4,2,9,0.9694656488549618,131,244,127
conv1,3,1,1.0,13,15,13
layer4,3,1,0.9859154929577465,142,186,140
conv1,3,2,1.0,12,15,12
layer4,3,2,1.0,113,188,113
conv1,3,3,1.0,12,15,12
layer4,3,3,1.0,77,188,77
conv1,3,4,1.0,13,15,13
layer4,3,4,1.0,57,188,57
conv1,3,5,0.9230769230769231,13,15,12
layer4,3,5,1.0,78,188,78
conv1,3,6,0.9285714285714286,14,16,13
layer4,3,6,1.0,9,188,9
conv1,3,7,1.0,15,17,15
layer4,3,7,1.0,8,188,8
conv1,3,8,1.0,17,17,17
layer4,3,8,0.9104477611940298,134,188,122
conv1,3,9,1.0,14,17,14
layer4,3,9,1.0,4,200,4
conv1,4,1,1.0,18,17,17
layer4,4,1,1.0,34,76,34
conv1,4,2,1.0,17,18,17
layer4,4,2,0.9272727272727272,55,76,51
conv1,4,3,1.0,18,18,18
layer4,4,3,0.95,121,80,76
conv1,4,4,1.0,18,18,18
layer4,4,4,1.0,40,125,40
conv1,4,5,1.0,18,18,18
layer4,4,5,0.9587628865979382,97,125,93
conv1,4,6,1.0,17,18,17
layer4,4,6,0.937984496124031,137,129,121
conv1,4,7,1.0,17,18,17
layer4,4,7,1.0,56,145,56
conv1,4,8,1.0,17,18,17
layer4,4,8,1.0,53,145,53
conv1,4,9,1.0,19,18,18
layer4,4,9,1.0,80,145,80
conv1,1,1,1.0,2,1,1
layer4,1,1,1.0,16,48,16
conv1,1,2,1.0,1,2,1
layer4,1,2,1.0,9,48,9
conv1,1,3,0.5,3,2,1
layer4,1,3,0.9166666666666666,24,48,22
conv1,1,4,0.75,4,4,3
layer4,1,4,1.0,11,50,11
conv1,1,5,0.8,5,5,4
layer4,1,5,0.8888888888888888,27,50,24
conv1,1,6,1.0,5,6,5
layer4,1,6,1.0,18,53,18
conv1,1,7,1.0,4,6,4
layer4,1,7,0.8055555555555556,36,53,29
conv1,1,8,1.0,4,6,4
layer4,1,8,0.972972972972973,37,60,36
conv1,1,9,1.0,9,6,6
layer4,1,9,0.975,40,61,39
conv1,2,1,1.0,9,9,9
layer4,2,1,0.7692307692307693,13,17,10
conv1,2,2,1.0,9,9,9
layer4,2,2,1.0,17,20,17
conv1,2,3,1.0,9,9,9
layer4,2,3,0.95,20,20,19
conv1,2,4,1.0,9,9,9
layer4,2,4,1.0,10,21,10
conv1,2,5,1.0,9,9,9
layer4,2,5,1.0,19,21,19
conv1,2,6,1.0,9,9,9
layer4,2,6,1.0,18,21,18
conv1,2,7,1.0,9,9,9
layer4,2,7,1.0,7,21,7
conv1,2,8,1.0,9,9,9
layer4,2,8,0.9523809523809523,21,21,20
conv1,2,9,1.0,9,9,9
layer4,2,9,1.0,24,22,22
conv1,3,1,1.0,9,9,9
layer4,3,1,1.0,9,18,9
conv1,3,2,1.0,9,9,9
layer4,3,2,1.0,5,18,5
conv1,3,3,1.0,9,9,9
layer4,3,3,1.0,20,18,18
conv1,3,4,1.0,9,9,9
layer4,3,4,1.0,46,20,20
conv1,3,5,1.0,9,9,9
layer4,3,5,1.0,2,46,2
conv1,3,6,1.0,9,9,9
layer4,3,6,1.0,8,46,8
conv1,3,7,1.0,9,9,9
layer4,3,7,1.0,1,46,1
conv1,3,8,1.0,9,9,9
layer4,3,8,1.0,13,46,13
conv1,3,9,1.0,9,9,9
layer4,3,9,1.0,3,46,3
conv1,4,1,1.0,9,9,9
layer4,4,1,0.9473684210526315,19,20,18
conv1,4,2,1.0,9,9,9
layer4,4,2,1.0,18,21,18
conv1,4,3,1.0,9,9,9
layer4,4,3,1.0,13,21,13
conv1,4,4,1.0,9,9,9
layer4,4,4,1.0,27,21,21
conv1,4,5,1.0,9,9,9
layer4,4,5,1.0,22,27,22
conv1,4,6,1.0,9,9,9
layer4,4,6,1.0,30,27,27
conv1,4,7,1.0,9,9,9
layer4,4,7,1.0,21,30,21
conv1,4,8,1.0,9,9,9
layer4,4,8,1.0,23,30,23
conv1,4,9,1.0,10,9,9
layer4,4,9,1.0,25,30,25
conv1,0,1,0.6666666666666666,4,3,2
layer4,0,1,0.9783783783783784,370,428,362
conv1,0,2,1.0,10,5,5
layer4,0,2,0.9923273657289002,391,436,388
conv1,0,3,0.7777777777777778,9,10,7
layer4,0,3,1.0,259,439,259
conv1,0,4,1.0,4,12,4
layer4,0,4,1.0,204,439,204
conv1,0,5,0.8571428571428571,7,12,6
layer4,0,5,1.0,174,439,174
conv1,0,6,0.8571428571428571,7,13,6
layer4,0,6,1.0,53,439,53
conv1,0,7,1.0,9,14,9
conv1,0,8,0.6428571428571429,16,14,9
conv1,0,9,0.9090909090909091,11,21,10
conv1,1,1,1.0,9,6,6
layer4,1,1,0.9803921568627451,153,288,150
conv1,1,2,1.0,22,9,9
layer4,1,2,0.9175257731958762,319,291,267
conv1,1,3,0.85,20,22,17
layer4,1,3,0.9416909620991254,354,343,323
conv1,1,4,0.8421052631578947,19,25,16
layer4,1,4,0.9491978609625669,391,374,355
conv1,1,5,0.9,20,28,18
layer4,1,5,0.9863760217983651,367,410,362
conv1,1,6,0.9523809523809523,21,30,20
layer4,1,6,0.9544303797468354,395,415,377
conv1,1,7,0.9473684210526315,19,31,18
layer4,1,7,0.9907621247113164,448,433,429
conv1,1,8,0.8695652173913043,23,32,20
layer4,1,8,0.9974489795918368,392,452,391
conv1,1,9,0.96,25,35,24
layer4,1,9,0.993103448275862,435,453,432
conv1,2,1,1.0,3,5,3
layer4,2,1,1.0,221,380,221
conv1,2,2,1.0,4,5,4
layer4,2,2,0.9695290858725761,361,380,350
conv1,2,3,0.75,4,5,3
layer4,2,3,1.0,256,391,256
conv1,2,4,0.75,4,6,3
layer4,2,4,0.9968051118210862,313,391,312
conv1,2,5,1.0,9,7,7
layer4,2,5,0.9675675675675676,370,392,358
conv1,2,6,1.0,6,9,6
layer4,2,6,1.0,300,404,300
conv1,2,7,0.625,8,9,5
layer4,2,7,1.0,201,404,201
conv1,2,8,0.9090909090909091,11,12,10
layer4,2,8,1.0,211,404,211
conv1,2,9,0.9166666666666666,12,13,11
layer4,2,9,1.0,223,404,223
conv1,3,1,0.5,4,4,2
layer4,3,1,0.9482071713147411,253,251,238
conv1,3,2,0.8333333333333334,8,6,5
layer4,3,2,1.0,192,266,192
conv1,3,3,0.8333333333333334,6,9,5
layer4,3,3,1.0,198,266,198
conv1,3,4,0.9,12,10,9
layer4,3,4,1.0,158,266,158
conv1,3,5,1.0,8,13,8
layer4,3,5,1.0,135,266,135
conv1,3,6,0.9230769230769231,15,13,12
layer4,3,6,1.0,120,266,120
conv1,3,7,1.0,14,16,14
layer4,3,7,0.99,200,266,198
conv1,3,8,0.875,18,16,14
layer4,3,8,1.0,138,268,138
conv1,3,9,1.0,15,20,15
layer4,3,9,1.0,92,268,92
conv1,4,1,1.0,3,2,2
layer4,4,1,0.9896907216494846,301,194,192
conv1,4,2,1.0,4,3,3
layer4,4,2,0.968421052631579,285,303,276
conv1,4,3,0.5,4,4,2
layer4,4,3,0.989247311827957,279,312,276
conv1,4,4,1.0,3,6,3
layer4,4,4,1.0,230,315,230
conv1,4,5,0.75,4,6,3
layer4,4,5,1.0,182,315,182
conv1,4,6,1.0,6,7,6
layer4,4,6,0.9546925566343042,309,315,295
conv1,4,7,0.7142857142857143,7,7,5
layer4,4,7,1.0,250,329,250
conv1,4,8,1.0,5,9,5
layer4,4,8,1.0,122,329,122
conv1,4,9,0.8888888888888888,9,9,8
layer4,4,9,1.0,280,329,280
conv1,0,2,0.0,2,1,0
conv1,0,3,0.0,3,3,0
layer4,0,3,1.0,3,2,2
conv1,0,4,0.5,4,6,2
layer4,0,4,1.0,2,3,2
conv1,0,5,0.375,13,8,3
layer4,0,5,0.6666666666666666,3,3,2
conv1,0,6,0.8333333333333334,20,18,15
conv1,0,7,0.8,20,23,16
layer4,0,7,0.0,1,4,0
conv1,0,8,0.8636363636363636,22,27,19
conv1,0,9,0.9523809523809523,21,30,20
conv1,1,1,1.0,2,2,2
conv1,1,2,1.0,4,2,2
conv1,1,3,1.0,2,4,2
conv1,1,4,0.5,5,4,2
conv1,1,5,1.0,3,7,3
conv1,1,6,1.0,2,7,2
conv1,1,7,1.0,3,7,3
conv1,1,8,1.0,2,7,2
conv1,1,9,0.75,4,7,3
conv1,2,0,0.5,2,8,1
conv1,2,1,0.5,2,9,1
layer4,2,1,1.0,58,138,58
conv1,2,2,0.4,5,10,2
layer4,2,2,1.0,80,138,80
conv1,2,3,1.0,3,13,3
layer4,2,3,0.9436619718309859,71,138,67
conv1,2,4,0.5,8,13,4
layer4,2,4,0.9304347826086956,115,142,107
conv1,2,5,0.6363636363636364,11,17,7
layer4,2,5,0.9553571428571429,112,150,107
conv1,2,6,0.9090909090909091,11,21,10
layer4,2,6,0.7419354838709677,155,155,115
conv1,2,7,0.8333333333333334,12,22,10
layer4,2,7,1.0,73,195,73
conv1,2,8,0.8461538461538461,13,24,11
layer4,2,8,1.0,76,195,76
conv1,2,9,1.0,13,26,13
layer4,2,9,1.0,88,195,88
conv1,3,1,1.0,2,2,2
layer4,3,1,0.9655172413793104,38,29,28
conv1,3,2,1.0,1,2,1
layer4,3,2,0.8421052631578947,38,39,32
conv1,3,3,1.0,2,2,2
layer4,3,3,1.0,33,45,33
conv1,3,4,1.0,2,2,2
layer4,3,4,1.0,87,45,45
conv1,3,5,1.0,2,2,2
layer4,3,5,0.9615384615384616,52,87,50
conv1,3,6,1.0,2,2,2
layer4,3,6,1.0,49,89,49
conv1,3,7,1.0,4,2,2
layer4,3,7,0.9864864864864865,74,89,73
conv1,3,8,1.0,2,4,2
layer4,3,8,1.0,22,90,22
conv1,3,9,1.0,1,4,1
layer4,3,9,1.0,29,90,29
conv1,4,1,0.6666666666666666,3,3,2
layer4,4,1,0.9245283018867925,53,71,49
conv1,4,2,1.0,3,4,3
layer4,4,2,0.9818181818181818,55,75,54
conv1,4,3,1.0,2,4,2
layer4,4,3,1.0,33,76,33
conv1,4,4,1.0,1,4,1
layer4,4,4,0.9384615384615385,65,76,61
conv1,4,5,1.0,2,4,2
layer4,4,5,1.0,19,80,19
conv1,4,6,1.0,2,4,2
layer4,4,6,0.9444444444444444,72,80,68
conv1,4,7,0.5,4,4,2
layer4,4,7,0.9714285714285714,70,84,68
conv1,4,8,1.0,2,6,2
layer4,4,8,1.0,69,86,69
conv1,4,9,0.6666666666666666,3,6,2
layer4,4,9,0.9883720930232558,97,86,85
conv1,0,1,0.6666666666666666,4,3,2
layer4,0,1,0.9783783783783784,370,428,362
conv1,0,2,1.0,10,5,5
layer4,0,2,0.9923273657289002,391,436,388
conv1,0,3,0.7777777777777778,9,10,7
layer4,0,3,1.0,259,439,259
conv1,0,4,1.0,4,12,4
layer4,0,4,1.0,204,439,204
conv1,0,5,0.8571428571428571,7,12,6
layer4,0,5,1.0,174,439,174
conv1,0,6,0.8571428571428571,7,13,6
layer4,0,6,1.0,53,439,53
conv1,0,7,1.0,9,14,9
conv1,0,8,0.6428571428571429,16,14,9
conv1,0,9,0.9090909090909091,11,21,10
conv1,1,1,0.9583333333333334,26,24,23
layer4,1,1,0.9790794979079498,340,239,234
conv1,1,2,1.0,35,27,27
layer4,1,2,1.0,457,345,345
conv1,1,3,0.9142857142857143,35,35,32
layer4,1,3,1.0,374,457,374
conv1,1,4,0.9714285714285714,35,38,34
layer4,1,4,0.9974226804123711,388,457,387
conv1,1,5,0.9473684210526315,38,39,36
layer4,1,5,1.0,328,458,328
conv1,1,6,1.0,35,41,35
layer4,1,6,0.9929245283018868,424,458,421
conv1,1,7,0.9722222222222222,36,41,35
layer4,1,7,0.9783080260303688,461,461,451
conv1,1,8,0.9736842105263158,38,42,37
layer4,1,8,1.0,427,471,427
conv1,1,9,0.9302325581395349,43,43,40
layer4,1,9,0.9932432432432432,444,471,441
conv1,2,1,1.0,47,47,47
layer4,2,1,1.0,352,442,352
conv1,2,2,1.0,47,47,47
layer4,2,2,1.0,364,442,364
conv1,2,3,1.0,49,47,47
layer4,2,3,0.9975186104218362,403,442,402
conv1,2,4,1.0,49,49,49
layer4,2,4,1.0,343,443,343
conv1,2,5,1.0,50,49,49
layer4,2,5,1.0,329,443,329
conv1,2,6,1.0,50,50,50
layer4,2,6,0.9973544973544973,378,443,377
conv1,2,7,1.0,49,50,49
layer4,2,7,0.9948320413436692,387,444,385
conv1,2,8,1.0,49,50,49
layer4,2,8,0.9946091644204852,371,446,369
conv1,2,9,1.0,49,50,49
layer4,2,9,1.0,364,448,364
conv1,3,1,1.0,51,50,50
layer4,3,1,0.963855421686747,270,249,240
conv1,3,2,1.0,51,51,51
layer4,3,2,0.9578544061302682,261,279,250
conv1,3,3,1.0,51,51,51
layer4,3,3,0.9915254237288136,236,290,234
conv1,3,4,1.0,52,51,51
layer4,3,4,1.0,218,292,218
conv1,3,5,1.0,52,52,52
layer4,3,5,0.9540636042402827,283,292,270
conv1,3,6,1.0,52,52,52
layer4,3,6,1.0,81,305,81
conv1,3,7,1.0,52,52,52
layer4,3,7,0.995575221238938,226,305,225
conv1,3,8,1.0,52,52,52
layer4,3,8,0.9874476987447699,239,306,236
conv1,3,9,1.0,52,52,52
layer4,3,9,1.0,235,309,235
conv1,4,1,1.0,53,52,52
layer4,4,1,0.992831541218638,349,279,277
conv1,4,2,1.0,54,53,53
layer4,4,2,0.9855072463768116,345,351,340
conv1,4,3,1.0,54,54,54
layer4,4,3,1.0,270,356,270
conv1,4,4,1.0,54,54,54
layer4,4,4,0.991304347826087,345,356,342
conv1,4,5,1.0,54,54,54
layer4,4,5,0.9857142857142858,350,359,345
conv1,4,6,1.0,54,54,54
layer4,4,6,1.0,291,364,291
conv1,4,7,1.0,54,54,54
layer4,4,7,1.0,307,364,307
conv1,4,8,1.0,54,54,54
layer4,4,8,1.0,208,364,208
conv1,4,9,1.0,54,54,54
layer4,4,9,1.0,205,364,205
conv1,0,2,0.0,2,1,0
conv1,0,3,0.0,3,3,0
layer4,0,3,1.0,3,2,2
conv1,0,4,0.5,4,6,2
layer4,0,4,1.0,2,3,2
conv1,0,5,0.375,13,8,3
layer4,0,5,0.6666666666666666,3,3,2
conv1,0,6,0.8333333333333334,20,18,15
conv1,0,7,0.8,20,23,16
layer4,0,7,0.0,1,4,0
conv1,0,8,0.8636363636363636,22,27,19
conv1,0,9,0.9523809523809523,21,30,20
conv1,1,1,1.0,32,32,32
conv1,1,2,1.0,33,32,32
conv1,1,3,1.0,32,33,32
conv1,1,4,0.9696969696969697,35,33,32
conv1,1,5,1.0,32,36,32
conv1,1,6,1.0,32,36,32
conv1,1,7,1.0,32,36,32
conv1,1,8,1.0,31,36,31
conv1,1,9,1.0,32,36,32
conv1,2,0,1.0,40,36,36
conv1,2,1,1.0,36,40,36
layer4,2,1,0.9803921568627451,51,115,50
conv1,2,2,1.0,38,40,38
layer4,2,2,0.8712871287128713,101,116,88
conv1,2,3,1.0,38,40,38
layer4,2,3,0.944954128440367,109,129,103
conv1,2,4,1.0,39,40,39
layer4,2,4,0.8852459016393442,122,135,108
conv1,2,5,0.9743589743589743,39,40,38
layer4,2,5,0.954954954954955,111,149,106
conv1,2,6,1.0,38,41,38
layer4,2,6,0.8913043478260869,138,154,123
conv1,2,7,1.0,38,41,38
layer4,2,7,1.0,77,169,77
conv1,2,8,0.95,40,41,38
layer4,2,8,0.9753086419753086,81,169,79
conv1,2,9,0.9743589743589743,39,43,38
layer4,2,9,1.0,93,171,93
conv1,3,1,1.0,44,44,44
layer4,3,1,1.0,42,65,42
conv1,3,2,1.0,44,44,44
layer4,3,2,0.8923076923076924,71,65,58
conv1,3,3,1.0,44,44,44
layer4,3,3,1.0,47,78,47
conv1,3,4,1.0,44,44,44
layer4,3,4,1.0,139,78,78
conv1,3,5,1.0,44,44,44
layer4,3,5,1.0,61,139,61
conv1,3,6,1.0,44,44,44
layer4,3,6,1.0,29,139,29
conv1,3,7,1.0,44,44,44
layer4,3,7,1.0,75,139,75
conv1,3,8,1.0,44,44,44
layer4,3,8,1.0,29,139,29
conv1,3,9,1.0,44,44,44
layer4,3,9,1.0,48,139,48
conv1,4,1,1.0,44,44,44
layer4,4,1,1.0,24,53,24
conv1,4,2,1.0,44,44,44
layer4,4,2,0.9696969696969697,33,53,32
conv1,4,3,1.0,45,44,44
layer4,4,3,1.0,18,54,18
conv1,4,4,1.0,44,45,44
layer4,4,4,0.8888888888888888,65,54,48
conv1,4,5,1.0,44,45,44
layer4,4,5,0.9591836734693877,49,71,47
conv1,4,6,0.9777777777777777,45,45,44
layer4,4,6,1.0,44,73,44
conv1,4,7,1.0,45,46,45
layer4,4,7,1.0,48,73,48
conv1,4,8,1.0,45,46,45
layer4,4,8,1.0,38,73,38
conv1,4,9,1.0,45,46,45
layer4,4,9,1.0,43,73,43
layer4,2,1,0.8857142857142857,35,42,31
layer4,2,2,0.9333333333333333,30,46,28
layer4,2,5,0.9473684210526315,19,48,18
layer4,2,6,1.0,2,49,2
layer4,2,8,1.0,1,49,1
layer4,2,9,1.0,11,49,11
layer4,3,1,1.0,1,59,1
layer4,3,2,1.0,14,59,14
layer4,3,3,1.0,4,59,4
layer4,3,4,0.8135593220338984,62,59,48
layer4,3,5,0.9310344827586207,58,73,54
layer4,3,7,0.9761904761904762,42,77,41
layer4,3,9,1.0,1,78,1
layer4,4,1,0.9876543209876543,81,129,80
layer4,4,2,1.0,65,130,65
layer4,4,3,0.9690721649484536,97,130,94
layer4,4,4,1.0,17,133,17
layer4,4,5,0.970873786407767,103,133,100
layer4,4,6,1.0,11,136,11
layer4,4,7,1.0,21,136,21
layer4,4,8,1.0,27,136,27
layer4,4,9,1.0,81,136,81
layer4,1,1,1.0,1,1,1
layer4,1,2,1.0,1,1,1
layer4,1,4,1.0,2,1,1
layer4,1,5,1.0,2,2,2
layer4,1,6,1.0,1,2,1
layer4,1,7,1.0,1,2,1
layer4,1,8,1.0,1,2,1
layer4,1,9,1.0,1,2,1
layer4,3,1,1.0,14,22,14
layer4,3,2,1.0,9,22,9
conv1,4,2,1.0,1,1,1
conv1,4,4,1.0,1,1,1
conv1,4,5,1.0,1,1,1
conv1,4,6,1.0,1,1,1
layer4,2,1,0.8857142857142857,35,42,31
layer4,2,2,0.9333333333333333,30,46,28
layer4,2,5,0.9473684210526315,19,48,18
layer4,2,6,1.0,2,49,2
layer4,2,8,1.0,1,49,1
layer4,2,9,1.0,11,49,11
layer4,3,1,1.0,1,59,1
layer4,3,2,1.0,14,59,14
layer4,3,3,1.0,4,59,4
layer4,3,4,0.8135593220338984,62,59,48
layer4,3,5,0.9310344827586207,58,73,54
layer4,3,7,0.9761904761904762,42,77,41
layer4,3,9,1.0,1,78,1
layer4,4,1,0.9876543209876543,81,129,80
layer4,4,2,1.0,65,130,65
layer4,4,3,0.9690721649484536,97,130,94
layer4,4,4,1.0,17,133,17
layer4,4,5,0.970873786407767,103,133,100
layer4,4,6,1.0,11,136,11
layer4,4,7,1.0,21,136,21
layer4,4,8,1.0,27,136,27
layer4,4,9,1.0,81,136,81
layer4,1,1,1.0,1,1,1
layer4,1,2,1.0,1,1,1
layer4,1,4,1.0,2,1,1
layer4,1,5,1.0,2,2,2
layer4,1,6,1.0,1,2,1
layer4,1,7,1.0,1,2,1
layer4,1,8,1.0,1,2,1
layer4,1,9,1.0,1,2,1
layer4,3,1,1.0,14,22,14
layer4,3,2,1.0,9,22,9
conv1,4,2,1.0,1,1,1
conv1,4,4,1.0,1,1,1
conv1,4,5,1.0,1,1,1
conv1,4,6,1.0,1,1,1
layer4,1,1,0.6666666666666666,3,15,2
layer4,1,2,1.0,310,16,16
layer4,1,3,0.9821428571428571,224,310,220
layer4,1,4,0.937037037037037,270,314,253
layer4,1,5,1.0,26,331,26
layer4,1,6,0.9788519637462235,378,331,324
layer4,1,7,1.0,25,385,25
layer4,1,8,1.0,30,385,30
layer4,1,9,1.0,21,385,21
conv1,2,1,1.0,2,2,2
layer4,2,1,0.9748427672955975,342,318,310
conv1,2,2,1.0,2,2,2
layer4,2,2,0.9845679012345679,324,350,319
conv1,2,3,1.0,2,2,2
layer4,2,3,1.0,120,355,120
conv1,2,4,1.0,2,2,2
layer4,2,4,1.0,225,355,225
conv1,2,5,1.0,3,2,2
layer4,2,5,0.9525222551928784,337,355,321
conv1,2,6,1.0,3,3,3
layer4,2,6,1.0,263,371,263
