model,num_tasks_seen,task,metric_type,accuracy
relu_0.2_ghada_adam,4,1,Class-IL,0.0
relu_0.2_ghada_adam,4,1,Task-IL,52.55
relu_0.2_ghada_adam,4,2,Class-IL,0.0
relu_0.2_ghada_adam,4,2,Task-IL,50.0
relu_0.2_ghada_adam,4,3,Class-IL,91.8
relu_0.2_ghada_adam,4,3,Task-IL,91.8
relu_0.2_ghada_adam,4,avg,Class-IL,22.95
relu_0.2_ghada_adam,4,avg,Task-IL,61.5
relu_0.2_ghada_adam,5,0,Class-IL,0.0
relu_0.2_ghada_adam,5,0,Task-IL,29.9
relu_0.2_ghada_adam,5,1,Class-IL,0.0
relu_0.2_ghada_adam,5,1,Task-IL,56.55
relu_0.2_ghada_adam,5,2,Class-IL,0.0
relu_0.2_ghada_adam,5,2,Task-IL,50.2
relu_0.2_ghada_adam,5,3,Class-IL,0.0
relu_0.2_ghada_adam,5,3,Task-IL,51.949999999999996
relu_0.2_ghada_adam,5,4,Class-IL,92.80000000000001
relu_0.2_ghada_adam,5,4,Task-IL,92.80000000000001
relu_0.2_ghada_adam,5,avg,Class-IL,18.56
relu_0.2_ghada_adam,5,avg,Task-IL,56.28
relu_0.2_ours_adam,1,0,Class-IL,94.65
relu_0.2_ours_adam,1,0,Task-IL,94.65
relu_0.2_ours_adam,1,avg,Class-IL,94.65
relu_0.2_ours_adam,1,avg,Task-IL,94.65
relu_0.2_ours_adam,2,0,Class-IL,0.0
relu_0.2_ours_adam,2,0,Task-IL,54.449999999999996
relu_0.2_ours_adam,2,1,Class-IL,82.45
relu_0.2_ours_adam,2,1,Task-IL,82.45
relu_0.2_ours_adam,2,avg,Class-IL,41.22
relu_0.2_ours_adam,2,avg,Task-IL,68.45
relu_0.2_ours_adam,3,0,Class-IL,0.0
relu_0.2_ours_adam,3,0,Task-IL,53.55
relu_0.2_ours_adam,3,1,Class-IL,0.0
relu_0.2_ours_adam,3,1,Task-IL,47.449999999999996
relu_0.2_ours_adam,3,2,Class-IL,91.45
relu_0.2_ours_adam,3,2,Task-IL,91.45
relu_0.2_ours_adam,3,avg,Class-IL,30.48
relu_0.2_ours_adam,3,avg,Task-IL,64.15
relu_0.2_ours_adam,4,0,Class-IL,0.0
relu_0.2_ours_adam,4,0,Task-IL,51.65
relu_0.2_ours_adam,4,1,Class-IL,0.0
relu_0.2_ours_adam,4,1,Task-IL,52.55
relu_0.2_ours_adam,4,2,Class-IL,0.0
relu_0.2_ours_adam,4,2,Task-IL,50.0
relu_0.2_ours_adam,4,3,Class-IL,91.8
relu_0.2_ours_adam,4,3,Task-IL,91.8
relu_0.2_ours_adam,4,avg,Class-IL,22.95
relu_0.2_ours_adam,4,avg,Task-IL,61.5
relu_0.2_ours_adam,5,0,Class-IL,0.0
relu_0.2_ours_adam,5,0,Task-IL,29.9
relu_0.2_ours_adam,5,1,Class-IL,0.0
relu_0.2_ours_adam,5,1,Task-IL,56.55
relu_0.2_ours_adam,5,2,Class-IL,0.0
relu_0.2_ours_adam,5,2,Task-IL,50.2
relu_0.2_ours_adam,5,3,Class-IL,0.0
relu_0.2_ours_adam,5,3,Task-IL,51.949999999999996
relu_0.2_ours_adam,5,4,Class-IL,92.80000000000001
relu_0.2_ours_adam,5,4,Task-IL,92.80000000000001
relu_0.2_ours_adam,5,avg,Class-IL,18.56
relu_0.2_ours_adam,5,avg,Task-IL,56.28
silu_0.3_ghada_adam,1,0,Class-IL,96.0
silu_0.3_ghada_adam,1,0,Task-IL,96.0
silu_0.3_ghada_adam,1,avg,Class-IL,96.0
silu_0.3_ghada_adam,1,avg,Task-IL,96.0
silu_0.3_ghada_adam,2,0,Class-IL,0.0
silu_0.3_ghada_adam,2,0,Task-IL,71.15
silu_0.3_ghada_adam,2,1,Class-IL,79.65
silu_0.3_ghada_adam,2,1,Task-IL,79.65
silu_0.3_ghada_adam,2,avg,Class-IL,39.83
silu_0.3_ghada_adam,2,avg,Task-IL,75.4
silu_0.3_ghada_adam,3,0,Class-IL,0.0
silu_0.3_ghada_adam,3,0,Task-IL,56.95
silu_0.3_ghada_adam,3,1,Class-IL,0.0
silu_0.3_ghada_adam,3,1,Task-IL,56.10000000000001
silu_0.3_ghada_adam,3,2,Class-IL,91.7
silu_0.3_ghada_adam,3,2,Task-IL,91.7
silu_0.3_ghada_adam,3,avg,Class-IL,30.57
silu_0.3_ghada_adam,3,avg,Task-IL,68.25
silu_0.3_ghada_adam,4,0,Class-IL,0.0
silu_0.3_ghada_adam,4,0,Task-IL,48.75
silu_0.3_ghada_adam,4,1,Class-IL,0.0
silu_0.3_ghada_adam,4,1,Task-IL,51.1
silu_0.3_ghada_adam,4,2,Class-IL,0.0
silu_0.3_ghada_adam,4,2,Task-IL,50.7
silu_0.3_ghada_adam,4,3,Class-IL,95.8
silu_0.3_ghada_adam,4,3,Task-IL,96.05
silu_0.3_ghada_adam,4,avg,Class-IL,23.95
silu_0.3_ghada_adam,4,avg,Task-IL,61.65
silu_0.3_ghada_adam,5,0,Class-IL,0.0
silu_0.3_ghada_adam,5,0,Task-IL,50.0
silu_0.3_ghada_adam,5,1,Class-IL,0.0
silu_0.3_ghada_adam,5,1,Task-IL,48.25
silu_0.3_ghada_adam,5,2,Class-IL,0.0
silu_0.3_ghada_adam,5,2,Task-IL,51.24999999999999
silu_0.3_ghada_adam,5,3,Class-IL,0.0
silu_0.3_ghada_adam,5,3,Task-IL,36.8
silu_0.3_ghada_adam,5,4,Class-IL,95.15
silu_0.3_ghada_adam,5,4,Task-IL,95.15
silu_0.3_ghada_adam,5,avg,Class-IL,19.03
silu_0.3_ghada_adam,5,avg,Task-IL,56.29
relu_0.2_ghada_sgd,1,0,Class-IL,93.5
relu_0.2_ghada_sgd,1,0,Task-IL,93.5
relu_0.2_ghada_sgd,1,avg,Class-IL,93.5
relu_0.2_ghada_sgd,1,avg,Task-IL,93.5
relu_0.2_ghada_sgd,2,0,Class-IL,0.0
relu_0.2_ghada_sgd,2,0,Task-IL,71.3
relu_0.2_ghada_sgd,2,1,Class-IL,70.3
relu_0.2_ghada_sgd,2,1,Task-IL,70.3
relu_0.2_ghada_sgd,2,avg,Class-IL,35.15
relu_0.2_ghada_sgd,2,avg,Task-IL,70.8
relu_0.2_ghada_sgd,3,0,Class-IL,0.0
relu_0.2_ghada_sgd,3,0,Task-IL,68.60000000000001
relu_0.2_ghada_sgd,3,1,Class-IL,0.0
relu_0.2_ghada_sgd,3,1,Task-IL,67.15
relu_0.2_ghada_sgd,3,2,Class-IL,90.0
relu_0.2_ghada_sgd,3,2,Task-IL,90.0
relu_0.2_ghada_sgd,3,avg,Class-IL,30.0
relu_0.2_ghada_sgd,3,avg,Task-IL,75.25
relu_0.2_ghada_sgd,4,0,Class-IL,0.0
relu_0.2_ghada_sgd,4,0,Task-IL,47.9
relu_0.2_ghada_sgd,4,1,Class-IL,0.0
relu_0.2_ghada_sgd,4,1,Task-IL,51.0
relu_0.2_ghada_sgd,4,2,Class-IL,0.0
relu_0.2_ghada_sgd,4,2,Task-IL,58.050000000000004
relu_0.2_ghada_sgd,4,3,Class-IL,94.95
relu_0.2_ghada_sgd,4,3,Task-IL,94.95
relu_0.2_ghada_sgd,4,avg,Class-IL,23.74
relu_0.2_ghada_sgd,4,avg,Task-IL,62.98
relu_0.2_ghada_sgd,5,0,Class-IL,0.0
relu_0.2_ghada_sgd,5,0,Task-IL,69.25
relu_0.2_ghada_sgd,5,1,Class-IL,0.0
relu_0.2_ghada_sgd,5,1,Task-IL,58.75
relu_0.2_ghada_sgd,5,2,Class-IL,0.0
relu_0.2_ghada_sgd,5,2,Task-IL,54.65
relu_0.2_ghada_sgd,5,3,Class-IL,0.0
relu_0.2_ghada_sgd,5,3,Task-IL,68.7
relu_0.2_ghada_sgd,5,4,Class-IL,91.64999999999999
relu_0.2_ghada_sgd,5,4,Task-IL,91.64999999999999
relu_0.2_ghada_sgd,5,avg,Class-IL,18.33
relu_0.2_ghada_sgd,5,avg,Task-IL,68.6
silu_0.3_ours_adam,1,0,Class-IL,96.0
silu_0.3_ours_adam,1,0,Task-IL,96.0
silu_0.3_ours_adam,1,avg,Class-IL,96.0
silu_0.3_ours_adam,1,avg,Task-IL,96.0
silu_0.3_ours_adam,2,0,Class-IL,0.0
silu_0.3_ours_adam,2,0,Task-IL,71.15
silu_0.3_ours_adam,2,1,Class-IL,79.65
silu_0.3_ours_adam,2,1,Task-IL,79.65
silu_0.3_ours_adam,2,avg,Class-IL,39.83
silu_0.3_ours_adam,2,avg,Task-IL,75.4
silu_0.3_ours_adam,3,0,Class-IL,0.0
silu_0.3_ours_adam,3,0,Task-IL,56.95
silu_0.3_ours_adam,3,1,Class-IL,0.0
silu_0.3_ours_adam,3,1,Task-IL,56.10000000000001
silu_0.3_ours_adam,3,2,Class-IL,91.7
silu_0.3_ours_adam,3,2,Task-IL,91.7
silu_0.3_ours_adam,3,avg,Class-IL,30.57
silu_0.3_ours_adam,3,avg,Task-IL,68.25
silu_0.3_ours_adam,4,0,Class-IL,0.0
silu_0.3_ours_adam,4,0,Task-IL,48.5
silu_0.3_ours_adam,4,1,Class-IL,0.0
silu_0.3_ours_adam,4,1,Task-IL,50.8
silu_0.3_ours_adam,4,2,Class-IL,0.0
silu_0.3_ours_adam,4,2,Task-IL,50.8
silu_0.3_ours_adam,4,3,Class-IL,95.3
silu_0.3_ours_adam,4,3,Task-IL,95.85000000000001
silu_0.3_ours_adam,4,avg,Class-IL,23.82
silu_0.3_ours_adam,4,avg,Task-IL,61.49
silu_0.3_ours_adam,5,0,Class-IL,0.0
silu_0.3_ours_adam,5,0,Task-IL,79.85
silu_0.3_ours_adam,5,1,Class-IL,0.0
silu_0.3_ours_adam,5,1,Task-IL,51.4
silu_0.3_ours_adam,5,2,Class-IL,0.0
silu_0.3_ours_adam,5,2,Task-IL,49.2
silu_0.3_ours_adam,5,3,Class-IL,9.85
silu_0.3_ours_adam,5,3,Task-IL,53.0
silu_0.3_ours_adam,5,4,Class-IL,44.15
silu_0.3_ours_adam,5,4,Task-IL,91.85
silu_0.3_ours_adam,5,avg,Class-IL,10.8
silu_0.3_ours_adam,5,avg,Task-IL,65.06
silu_0.3_ghada_sgd,1,0,Class-IL,95.39999999999999
silu_0.3_ghada_sgd,1,0,Task-IL,95.39999999999999
silu_0.3_ghada_sgd,1,avg,Class-IL,95.4
silu_0.3_ghada_sgd,1,avg,Task-IL,95.4
silu_0.3_ghada_sgd,2,0,Class-IL,0.0
silu_0.3_ghada_sgd,2,0,Task-IL,79.10000000000001
silu_0.3_ghada_sgd,2,1,Class-IL,70.05
silu_0.3_ghada_sgd,2,1,Task-IL,70.05
silu_0.3_ghada_sgd,2,avg,Class-IL,35.02
silu_0.3_ghada_sgd,2,avg,Task-IL,74.58
silu_0.3_ghada_sgd,3,0,Class-IL,0.0
silu_0.3_ghada_sgd,3,0,Task-IL,71.89999999999999
silu_0.3_ghada_sgd,3,1,Class-IL,0.0
silu_0.3_ghada_sgd,3,1,Task-IL,69.89999999999999
silu_0.3_ghada_sgd,3,2,Class-IL,91.75
silu_0.3_ghada_sgd,3,2,Task-IL,91.75
silu_0.3_ghada_sgd,3,avg,Class-IL,30.58
silu_0.3_ghada_sgd,3,avg,Task-IL,77.85
silu_0.3_ghada_sgd,4,0,Class-IL,0.0
silu_0.3_ghada_sgd,4,0,Task-IL,69.6
silu_0.3_ghada_sgd,4,1,Class-IL,0.0
silu_0.3_ghada_sgd,4,1,Task-IL,64.60000000000001
silu_0.3_ghada_sgd,4,2,Class-IL,0.0
silu_0.3_ghada_sgd,4,2,Task-IL,79.45
silu_0.3_ghada_sgd,4,3,Class-IL,97.1
silu_0.3_ghada_sgd,4,3,Task-IL,97.1
silu_0.3_ghada_sgd,4,avg,Class-IL,24.28
silu_0.3_ghada_sgd,4,avg,Task-IL,77.69
silu_0.3_ghada_sgd,5,0,Class-IL,0.0
silu_0.3_ghada_sgd,5,0,Task-IL,73.0
silu_0.3_ghada_sgd,5,1,Class-IL,0.0
silu_0.3_ghada_sgd,5,1,Task-IL,64.85
silu_0.3_ghada_sgd,5,2,Class-IL,0.0
silu_0.3_ghada_sgd,5,2,Task-IL,64.8
silu_0.3_ghada_sgd,5,3,Class-IL,0.0
silu_0.3_ghada_sgd,5,3,Task-IL,78.64999999999999
silu_0.3_ghada_sgd,5,4,Class-IL,91.14999999999999
silu_0.3_ghada_sgd,5,4,Task-IL,91.14999999999999
silu_0.3_ghada_sgd,5,avg,Class-IL,18.23
silu_0.3_ghada_sgd,5,avg,Task-IL,74.49
silu_0.3_ours_sgd,1,0,Class-IL,95.39999999999999
silu_0.3_ours_sgd,1,0,Task-IL,95.39999999999999
silu_0.3_ours_sgd,1,avg,Class-IL,95.4
silu_0.3_ours_sgd,1,avg,Task-IL,95.4
silu_0.3_ours_sgd,2,0,Class-IL,0.0
silu_0.3_ours_sgd,2,0,Task-IL,79.10000000000001
silu_0.3_ours_sgd,2,1,Class-IL,70.05
silu_0.3_ours_sgd,2,1,Task-IL,70.05
silu_0.3_ours_sgd,2,avg,Class-IL,35.02
silu_0.3_ours_sgd,2,avg,Task-IL,74.58
silu_0.3_ours_sgd,3,0,Class-IL,0.0
silu_0.3_ours_sgd,3,0,Task-IL,71.89999999999999
silu_0.3_ours_sgd,3,1,Class-IL,0.0
silu_0.3_ours_sgd,3,1,Task-IL,69.89999999999999
silu_0.3_ours_sgd,3,2,Class-IL,91.75
silu_0.3_ours_sgd,3,2,Task-IL,91.75
silu_0.3_ours_sgd,3,avg,Class-IL,30.58
silu_0.3_ours_sgd,3,avg,Task-IL,77.85
silu_0.3_ours_sgd,4,0,Class-IL,0.0
silu_0.3_ours_sgd,4,0,Task-IL,69.35
silu_0.3_ours_sgd,4,1,Class-IL,0.0
silu_0.3_ours_sgd,4,1,Task-IL,64.35
silu_0.3_ours_sgd,4,2,Class-IL,0.0
silu_0.3_ours_sgd,4,2,Task-IL,79.9
silu_0.3_ours_sgd,4,3,Class-IL,97.1
silu_0.3_ours_sgd,4,3,Task-IL,97.1
silu_0.3_ours_sgd,4,avg,Class-IL,24.28
silu_0.3_ours_sgd,4,avg,Task-IL,77.68
silu_0.3_ours_sgd,5,0,Class-IL,0.0
silu_0.3_ours_sgd,5,0,Task-IL,71.55
silu_0.3_ours_sgd,5,1,Class-IL,0.0
silu_0.3_ours_sgd,5,1,Task-IL,64.45
silu_0.3_ours_sgd,5,2,Class-IL,0.0
silu_0.3_ours_sgd,5,2,Task-IL,69.3
silu_0.3_ours_sgd,5,3,Class-IL,0.0
silu_0.3_ours_sgd,5,3,Task-IL,78.4
silu_0.3_ours_sgd,5,4,Class-IL,92.65
silu_0.3_ours_sgd,5,4,Task-IL,92.65
silu_0.3_ours_sgd,5,avg,Class-IL,18.53
silu_0.3_ours_sgd,5,avg,Task-IL,75.27
silu_0.2_ours_sgd,1,0,Class-IL,95.39999999999999
silu_0.2_ours_sgd,1,0,Task-IL,95.39999999999999
silu_0.2_ours_sgd,1,avg,Class-IL,95.4
silu_0.2_ours_sgd,1,avg,Task-IL,95.4
silu_0.2_ours_sgd,2,0,Class-IL,0.0
silu_0.2_ours_sgd,2,0,Task-IL,79.10000000000001
silu_0.2_ours_sgd,2,1,Class-IL,70.05
silu_0.2_ours_sgd,2,1,Task-IL,70.05
silu_0.2_ours_sgd,2,avg,Class-IL,35.02
silu_0.2_ours_sgd,2,avg,Task-IL,74.58
silu_0.2_ours_sgd,3,0,Class-IL,0.0
silu_0.2_ours_sgd,3,0,Task-IL,71.85000000000001
silu_0.2_ours_sgd,3,1,Class-IL,0.0
silu_0.2_ours_sgd,3,1,Task-IL,69.95
silu_0.2_ours_sgd,3,2,Class-IL,91.75
silu_0.2_ours_sgd,3,2,Task-IL,91.75
silu_0.2_ours_sgd,3,avg,Class-IL,30.58
silu_0.2_ours_sgd,3,avg,Task-IL,77.85
silu_0.2_ours_sgd,4,0,Class-IL,0.0
silu_0.2_ours_sgd,4,0,Task-IL,69.39999999999999
silu_0.2_ours_sgd,4,1,Class-IL,0.0
silu_0.2_ours_sgd,4,1,Task-IL,63.74999999999999
silu_0.2_ours_sgd,4,2,Class-IL,0.0
silu_0.2_ours_sgd,4,2,Task-IL,80.15
silu_0.2_ours_sgd,4,3,Class-IL,97.15
silu_0.2_ours_sgd,4,3,Task-IL,97.15
silu_0.2_ours_sgd,4,avg,Class-IL,24.29
silu_0.2_ours_sgd,4,avg,Task-IL,77.61
silu_0.2_ours_sgd,5,0,Class-IL,0.0
silu_0.2_ours_sgd,5,0,Task-IL,71.85000000000001
silu_0.2_ours_sgd,5,1,Class-IL,0.0
silu_0.2_ours_sgd,5,1,Task-IL,64.8
silu_0.2_ours_sgd,5,2,Class-IL,0.0
silu_0.2_ours_sgd,5,2,Task-IL,67.55
silu_0.2_ours_sgd,5,3,Class-IL,0.0
silu_0.2_ours_sgd,5,3,Task-IL,78.9
silu_0.2_ours_sgd,5,4,Class-IL,92.60000000000001
silu_0.2_ours_sgd,5,4,Task-IL,92.60000000000001
silu_0.2_ours_sgd,5,avg,Class-IL,18.52
silu_0.2_ours_sgd,5,avg,Task-IL,75.14
leaky_relu_0.2_ghada_sgd,1,0,Class-IL,90.95
leaky_relu_0.2_ghada_sgd,1,0,Task-IL,90.95
leaky_relu_0.2_ghada_sgd,1,avg,Class-IL,90.95
leaky_relu_0.2_ghada_sgd,1,avg,Task-IL,90.95
leaky_relu_0.2_ghada_sgd,2,0,Class-IL,0.0
leaky_relu_0.2_ghada_sgd,2,0,Task-IL,74.55000000000001
leaky_relu_0.2_ghada_sgd,2,1,Class-IL,80.2
leaky_relu_0.2_ghada_sgd,2,1,Task-IL,80.2
leaky_relu_0.2_ghada_sgd,2,avg,Class-IL,40.1
leaky_relu_0.2_ghada_sgd,2,avg,Task-IL,77.38
leaky_relu_0.2_ghada_sgd,3,0,Class-IL,0.0
leaky_relu_0.2_ghada_sgd,3,0,Task-IL,72.85000000000001
leaky_relu_0.2_ghada_sgd,3,1,Class-IL,0.0
leaky_relu_0.2_ghada_sgd,3,1,Task-IL,66.75
leaky_relu_0.2_ghada_sgd,3,2,Class-IL,89.2
leaky_relu_0.2_ghada_sgd,3,2,Task-IL,89.2
leaky_relu_0.2_ghada_sgd,3,avg,Class-IL,29.73
leaky_relu_0.2_ghada_sgd,3,avg,Task-IL,76.27
leaky_relu_0.2_ghada_sgd,4,0,Class-IL,0.0
leaky_relu_0.2_ghada_sgd,4,0,Task-IL,61.8
leaky_relu_0.2_ghada_sgd,4,1,Class-IL,0.0
leaky_relu_0.2_ghada_sgd,4,1,Task-IL,68.7
leaky_relu_0.2_ghada_sgd,4,2,Class-IL,0.0
leaky_relu_0.2_ghada_sgd,4,2,Task-IL,81.39999999999999
leaky_relu_0.2_ghada_sgd,4,3,Class-IL,96.2
leaky_relu_0.2_ghada_sgd,4,3,Task-IL,96.2
leaky_relu_0.2_ghada_sgd,4,avg,Class-IL,24.05
leaky_relu_0.2_ghada_sgd,4,avg,Task-IL,77.02
leaky_relu_0.2_ghada_sgd,5,0,Class-IL,0.0
leaky_relu_0.2_ghada_sgd,5,0,Task-IL,70.05
leaky_relu_0.2_ghada_sgd,5,1,Class-IL,0.0
leaky_relu_0.2_ghada_sgd,5,1,Task-IL,64.55
leaky_relu_0.2_ghada_sgd,5,2,Class-IL,0.0
leaky_relu_0.2_ghada_sgd,5,2,Task-IL,58.4
leaky_relu_0.2_ghada_sgd,5,3,Class-IL,0.0
leaky_relu_0.2_ghada_sgd,5,3,Task-IL,75.55
leaky_relu_0.2_ghada_sgd,5,4,Class-IL,94.25
leaky_relu_0.2_ghada_sgd,5,4,Task-IL,94.25
leaky_relu_0.2_ghada_sgd,5,avg,Class-IL,18.85
leaky_relu_0.2_ghada_sgd,5,avg,Task-IL,72.56
leaky_relu_0.3_ours_adam,1,0,Class-IL,94.05
leaky_relu_0.3_ours_adam,1,0,Task-IL,94.05
leaky_relu_0.3_ours_adam,1,avg,Class-IL,94.05
leaky_relu_0.3_ours_adam,1,avg,Task-IL,94.05
leaky_relu_0.3_ours_adam,2,0,Class-IL,0.0
leaky_relu_0.3_ours_adam,2,0,Task-IL,60.550000000000004
leaky_relu_0.3_ours_adam,2,1,Class-IL,83.15
leaky_relu_0.3_ours_adam,2,1,Task-IL,83.15
leaky_relu_0.3_ours_adam,2,avg,Class-IL,41.58
leaky_relu_0.3_ours_adam,2,avg,Task-IL,71.85
leaky_relu_0.3_ours_adam,3,0,Class-IL,0.0
leaky_relu_0.3_ours_adam,3,0,Task-IL,61.85000000000001
leaky_relu_0.3_ours_adam,3,1,Class-IL,0.0
leaky_relu_0.3_ours_adam,3,1,Task-IL,53.300000000000004
leaky_relu_0.3_ours_adam,3,2,Class-IL,90.45
leaky_relu_0.3_ours_adam,3,2,Task-IL,90.45
leaky_relu_0.3_ours_adam,3,avg,Class-IL,30.15
leaky_relu_0.3_ours_adam,3,avg,Task-IL,68.53
leaky_relu_0.3_ours_adam,4,0,Class-IL,0.0
leaky_relu_0.3_ours_adam,4,0,Task-IL,46.800000000000004
leaky_relu_0.3_ours_adam,4,1,Class-IL,0.0
leaky_relu_0.3_ours_adam,4,1,Task-IL,56.2
leaky_relu_0.3_ours_adam,4,2,Class-IL,0.0
leaky_relu_0.3_ours_adam,4,2,Task-IL,64.7
leaky_relu_0.3_ours_adam,4,3,Class-IL,95.3
leaky_relu_0.3_ours_adam,4,3,Task-IL,95.3
leaky_relu_0.3_ours_adam,4,avg,Class-IL,23.82
leaky_relu_0.3_ours_adam,4,avg,Task-IL,65.75
leaky_relu_0.3_ours_adam,5,0,Class-IL,0.0
leaky_relu_0.3_ours_adam,5,0,Task-IL,51.300000000000004
leaky_relu_0.3_ours_adam,5,1,Class-IL,0.0
leaky_relu_0.3_ours_adam,5,1,Task-IL,60.050000000000004
leaky_relu_0.3_ours_adam,5,2,Class-IL,0.0
leaky_relu_0.3_ours_adam,5,2,Task-IL,54.50000000000001
leaky_relu_0.3_ours_adam,5,3,Class-IL,0.0
leaky_relu_0.3_ours_adam,5,3,Task-IL,49.5
leaky_relu_0.3_ours_adam,5,4,Class-IL,95.55
leaky_relu_0.3_ours_adam,5,4,Task-IL,95.55
leaky_relu_0.3_ours_adam,5,avg,Class-IL,19.11
leaky_relu_0.3_ours_adam,5,avg,Task-IL,62.18
leaky_relu_0.3_ghada_adam,1,0,Class-IL,94.05
leaky_relu_0.3_ghada_adam,1,0,Task-IL,94.05
leaky_relu_0.3_ghada_adam,1,avg,Class-IL,94.05
leaky_relu_0.3_ghada_adam,1,avg,Task-IL,94.05
leaky_relu_0.3_ghada_adam,2,0,Class-IL,0.0
leaky_relu_0.3_ghada_adam,2,0,Task-IL,64.75
leaky_relu_0.3_ghada_adam,2,1,Class-IL,83.7
leaky_relu_0.3_ghada_adam,2,1,Task-IL,83.7
leaky_relu_0.3_ghada_adam,2,avg,Class-IL,41.85
leaky_relu_0.3_ghada_adam,2,avg,Task-IL,74.22
leaky_relu_0.3_ghada_adam,3,0,Class-IL,0.0
leaky_relu_0.3_ghada_adam,3,0,Task-IL,53.75
leaky_relu_0.3_ghada_adam,3,1,Class-IL,0.0
leaky_relu_0.3_ghada_adam,3,1,Task-IL,50.0
leaky_relu_0.3_ghada_adam,3,2,Class-IL,77.7
leaky_relu_0.3_ghada_adam,3,2,Task-IL,77.75
leaky_relu_0.3_ghada_adam,3,avg,Class-IL,25.9
leaky_relu_0.3_ghada_adam,3,avg,Task-IL,60.5
leaky_relu_0.3_ghada_adam,4,0,Class-IL,0.0
leaky_relu_0.3_ghada_adam,4,0,Task-IL,50.349999999999994
leaky_relu_0.3_ghada_adam,4,1,Class-IL,0.0
leaky_relu_0.3_ghada_adam,4,1,Task-IL,51.6
leaky_relu_0.3_ghada_adam,4,2,Class-IL,0.0
leaky_relu_0.3_ghada_adam,4,2,Task-IL,50.0
leaky_relu_0.3_ghada_adam,4,3,Class-IL,94.55
leaky_relu_0.3_ghada_adam,4,3,Task-IL,94.55
leaky_relu_0.3_ghada_adam,4,avg,Class-IL,23.64
leaky_relu_0.3_ghada_adam,4,avg,Task-IL,61.62
leaky_relu_0.3_ghada_adam,5,0,Class-IL,0.0
leaky_relu_0.3_ghada_adam,5,0,Task-IL,56.49999999999999
leaky_relu_0.3_ghada_adam,5,1,Class-IL,0.0
leaky_relu_0.3_ghada_adam,5,1,Task-IL,49.85
leaky_relu_0.3_ghada_adam,5,2,Class-IL,0.0
leaky_relu_0.3_ghada_adam,5,2,Task-IL,50.05
leaky_relu_0.3_ghada_adam,5,3,Class-IL,0.0
leaky_relu_0.3_ghada_adam,5,3,Task-IL,67.60000000000001
leaky_relu_0.3_ghada_adam,5,4,Class-IL,94.89999999999999
leaky_relu_0.3_ghada_adam,5,4,Task-IL,94.89999999999999
leaky_relu_0.3_ghada_adam,5,avg,Class-IL,18.98
leaky_relu_0.3_ghada_adam,5,avg,Task-IL,63.78
relu_0.3_ghada_adam,1,0,Class-IL,94.65
relu_0.3_ghada_adam,1,0,Task-IL,94.65
relu_0.3_ghada_adam,1,avg,Class-IL,94.65
relu_0.3_ghada_adam,1,avg,Task-IL,94.65
relu_0.3_ghada_adam,2,0,Class-IL,0.0
relu_0.3_ghada_adam,2,0,Task-IL,55.1
relu_0.3_ghada_adam,2,1,Class-IL,82.75
relu_0.3_ghada_adam,2,1,Task-IL,82.75
relu_0.3_ghada_adam,2,avg,Class-IL,41.38
relu_0.3_ghada_adam,2,avg,Task-IL,68.92
relu_0.3_ghada_adam,3,0,Class-IL,0.0
relu_0.3_ghada_adam,3,0,Task-IL,51.7
relu_0.3_ghada_adam,3,1,Class-IL,0.0
relu_0.3_ghada_adam,3,1,Task-IL,44.1
relu_0.3_ghada_adam,3,2,Class-IL,87.75
relu_0.3_ghada_adam,3,2,Task-IL,87.75
relu_0.3_ghada_adam,3,avg,Class-IL,29.25
relu_0.3_ghada_adam,3,avg,Task-IL,61.18
relu_0.3_ghada_adam,4,0,Class-IL,0.0
relu_0.3_ghada_adam,4,0,Task-IL,49.6
relu_0.3_ghada_adam,4,1,Class-IL,0.0
relu_0.3_ghada_adam,4,1,Task-IL,53.1
relu_0.3_ghada_adam,4,2,Class-IL,0.0
relu_0.3_ghada_adam,4,2,Task-IL,50.0
relu_0.3_ghada_adam,4,3,Class-IL,95.65
relu_0.3_ghada_adam,4,3,Task-IL,95.65
relu_0.3_ghada_adam,4,avg,Class-IL,23.91
relu_0.3_ghada_adam,4,avg,Task-IL,62.09
relu_0.3_ghada_adam,5,0,Class-IL,0.0
relu_0.3_ghada_adam,5,0,Task-IL,66.64999999999999
relu_0.3_ghada_adam,5,1,Class-IL,0.0
relu_0.3_ghada_adam,5,1,Task-IL,54.55
relu_0.3_ghada_adam,5,2,Class-IL,0.0
relu_0.3_ghada_adam,5,2,Task-IL,50.0
relu_0.3_ghada_adam,5,3,Class-IL,0.0
relu_0.3_ghada_adam,5,3,Task-IL,41.199999999999996
relu_0.3_ghada_adam,5,4,Class-IL,93.65
relu_0.3_ghada_adam,5,4,Task-IL,93.65
relu_0.3_ghada_adam,5,avg,Class-IL,18.73
relu_0.3_ghada_adam,5,avg,Task-IL,61.21
relu_0.2_ours_sgd,1,0,Class-IL,93.5
relu_0.2_ours_sgd,1,0,Task-IL,93.5
relu_0.2_ours_sgd,1,avg,Class-IL,93.5
relu_0.2_ours_sgd,1,avg,Task-IL,93.5
relu_0.2_ours_sgd,2,0,Class-IL,0.0
relu_0.2_ours_sgd,2,0,Task-IL,71.3
relu_0.2_ours_sgd,2,1,Class-IL,70.3
relu_0.2_ours_sgd,2,1,Task-IL,70.3
relu_0.2_ours_sgd,2,avg,Class-IL,35.15
