model,num_tasks_seen,task,metric_type,accuracy
silu_0.2_ours_adam,2,1,Class-IL,84.3
silu_0.2_ours_adam,2,1,Task-IL,84.3
silu_0.2_ours_adam,2,avg,Class-IL,42.15
silu_0.2_ours_adam,2,avg,Task-IL,67.08
silu_0.2_ours_adam,3,0,Class-IL,0.0
silu_0.2_ours_adam,3,0,Task-IL,40.65
silu_0.2_ours_adam,3,1,Class-IL,0.0
silu_0.2_ours_adam,3,1,Task-IL,57.25
silu_0.2_ours_adam,3,2,Class-IL,90.85
silu_0.2_ours_adam,3,2,Task-IL,90.85
silu_0.2_ours_adam,3,avg,Class-IL,30.28
silu_0.2_ours_adam,3,avg,Task-IL,62.92
silu_0.2_ours_adam,4,0,Class-IL,0.0
silu_0.2_ours_adam,4,0,Task-IL,52.7
silu_0.2_ours_adam,4,1,Class-IL,0.0
silu_0.2_ours_adam,4,1,Task-IL,61.8
silu_0.2_ours_adam,4,2,Class-IL,0.0
silu_0.2_ours_adam,4,2,Task-IL,59.75
silu_0.2_ours_adam,4,3,Class-IL,94.85
silu_0.2_ours_adam,4,3,Task-IL,94.85
silu_0.2_ours_adam,4,avg,Class-IL,23.71
silu_0.2_ours_adam,4,avg,Task-IL,67.28
silu_0.2_ours_adam,5,0,Class-IL,0.0
silu_0.2_ours_adam,5,0,Task-IL,40.400000000000006
silu_0.2_ours_adam,5,1,Class-IL,0.0
silu_0.2_ours_adam,5,1,Task-IL,57.9
silu_0.2_ours_adam,5,2,Class-IL,0.0
silu_0.2_ours_adam,5,2,Task-IL,50.0
silu_0.2_ours_adam,5,3,Class-IL,0.0
silu_0.2_ours_adam,5,3,Task-IL,63.5
silu_0.2_ours_adam,5,4,Class-IL,93.75
silu_0.2_ours_adam,5,4,Task-IL,94.1
silu_0.2_ours_adam,5,avg,Class-IL,18.75
silu_0.2_ours_adam,5,avg,Task-IL,61.18
01_baseline_sgd_relu,1,0,Class-IL,83.2
01_baseline_sgd_relu,1,0,Task-IL,83.2
01_baseline_sgd_relu,1,avg,Class-IL,83.2
01_baseline_sgd_relu,1,avg,Task-IL,83.2
01_baseline_sgd_relu,2,0,Class-IL,0.0
01_baseline_sgd_relu,2,0,Task-IL,63.24999999999999
01_baseline_sgd_relu,2,1,Class-IL,77.85
01_baseline_sgd_relu,2,1,Task-IL,77.85
01_baseline_sgd_relu,2,avg,Class-IL,38.92
01_baseline_sgd_relu,2,avg,Task-IL,70.55
01_baseline_sgd_relu,3,0,Class-IL,0.0
01_baseline_sgd_relu,3,0,Task-IL,65.3
01_baseline_sgd_relu,3,1,Class-IL,0.0
01_baseline_sgd_relu,3,1,Task-IL,65.05
01_baseline_sgd_relu,3,2,Class-IL,87.55
01_baseline_sgd_relu,3,2,Task-IL,87.55
01_baseline_sgd_relu,3,avg,Class-IL,29.18
01_baseline_sgd_relu,3,avg,Task-IL,72.63
01_baseline_sgd_relu,4,0,Class-IL,0.0
01_baseline_sgd_relu,4,0,Task-IL,49.3
01_baseline_sgd_relu,4,1,Class-IL,0.0
01_baseline_sgd_relu,4,1,Task-IL,55.15
01_baseline_sgd_relu,4,2,Class-IL,0.0
01_baseline_sgd_relu,4,2,Task-IL,64.85
01_baseline_sgd_relu,4,3,Class-IL,96.2
01_baseline_sgd_relu,4,3,Task-IL,96.2
01_baseline_sgd_relu,4,avg,Class-IL,24.05
01_baseline_sgd_relu,4,avg,Task-IL,66.38
01_baseline_sgd_relu,5,0,Class-IL,0.0
01_baseline_sgd_relu,5,0,Task-IL,70.8
01_baseline_sgd_relu,5,1,Class-IL,0.0
01_baseline_sgd_relu,5,1,Task-IL,52.1
01_baseline_sgd_relu,5,2,Class-IL,0.0
01_baseline_sgd_relu,5,2,Task-IL,60.099999999999994
01_baseline_sgd_relu,5,3,Class-IL,0.0
01_baseline_sgd_relu,5,3,Task-IL,57.4
01_baseline_sgd_relu,5,4,Class-IL,92.55
01_baseline_sgd_relu,5,4,Task-IL,92.55
01_baseline_sgd_relu,5,avg,Class-IL,18.51
01_baseline_sgd_relu,5,avg,Task-IL,66.59
relu_0.2_ghada_adam,1,0,Class-IL,91.9
relu_0.2_ghada_adam,1,0,Task-IL,91.9
relu_0.2_ghada_adam,1,avg,Class-IL,91.9
relu_0.2_ghada_adam,1,avg,Task-IL,91.9
relu_0.2_ghada_adam,2,0,Class-IL,0.0
relu_0.2_ghada_adam,2,0,Task-IL,42.0
relu_0.2_ghada_adam,2,1,Class-IL,80.10000000000001
relu_0.2_ghada_adam,2,1,Task-IL,80.10000000000001
relu_0.2_ghada_adam,2,avg,Class-IL,40.05
relu_0.2_ghada_adam,2,avg,Task-IL,61.05
relu_0.2_ghada_adam,3,0,Class-IL,0.0
relu_0.2_ghada_adam,3,0,Task-IL,34.35
relu_0.2_ghada_adam,3,1,Class-IL,0.0
relu_0.2_ghada_adam,3,1,Task-IL,50.949999999999996
relu_0.2_ghada_adam,3,2,Class-IL,91.4
relu_0.2_ghada_adam,3,2,Task-IL,91.4
relu_0.2_ghada_adam,3,avg,Class-IL,30.47
relu_0.2_ghada_adam,3,avg,Task-IL,58.9
relu_0.2_ghada_adam,4,0,Class-IL,0.0
relu_0.2_ghada_adam,4,0,Task-IL,50.24999999999999
relu_0.2_ghada_adam,4,1,Class-IL,0.0
relu_0.2_ghada_adam,4,1,Task-IL,50.349999999999994
relu_0.2_ghada_adam,4,2,Class-IL,0.0
relu_0.2_ghada_adam,4,2,Task-IL,49.9
relu_0.2_ghada_adam,4,3,Class-IL,93.89999999999999
relu_0.2_ghada_adam,4,3,Task-IL,93.89999999999999
relu_0.2_ghada_adam,4,avg,Class-IL,23.48
relu_0.2_ghada_adam,4,avg,Task-IL,61.1
relu_0.2_ghada_adam,5,0,Class-IL,0.0
relu_0.2_ghada_adam,5,0,Task-IL,57.199999999999996
relu_0.2_ghada_adam,5,1,Class-IL,0.0
relu_0.2_ghada_adam,5,1,Task-IL,54.0
relu_0.2_ghada_adam,5,2,Class-IL,0.0
relu_0.2_ghada_adam,5,2,Task-IL,50.0
relu_0.2_ghada_adam,5,3,Class-IL,0.0
relu_0.2_ghada_adam,5,3,Task-IL,50.349999999999994
relu_0.2_ghada_adam,5,4,Class-IL,94.0
relu_0.2_ghada_adam,5,4,Task-IL,94.0
relu_0.2_ghada_adam,5,avg,Class-IL,18.8
relu_0.2_ghada_adam,5,avg,Task-IL,61.11
silu_0.2_ghada_adam,1,0,Class-IL,94.8
silu_0.2_ghada_adam,1,0,Task-IL,94.8
silu_0.2_ghada_adam,1,avg,Class-IL,94.8
